"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","List products (Pagination)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","32","Create product (Negative)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","20","Get product by ID (Negative)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","28","Remove product by ID (Schema validation)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","18","Get deleted product by id (Negative)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","107","List products (Schema validation)","store","Sat Apr 12 09:16:56 UTC 2025","passed","Sat Apr 12 09:16:56 UTC 2025","","Products","",""
"","43","Create product (Schema validation)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","23","List products (Pagination + Sorting)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","22","Remove product by ID (Negative)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","20","Update product (Negative)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","33","Update product (Schema validation)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","35","Get product by ID (Schema validation)","store","Sat Apr 12 09:16:56 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
"","21","List products (Sorting)","store","Sat Apr 12 09:16:57 UTC 2025","passed","Sat Apr 12 09:16:57 UTC 2025","","Products","",""
